날짜,종목명,행동,체결가,수익률(%)
2026-08-20,주성엔지니어링,매수(BUY),177300.0,0.0
2026-08-20,SK하이닉스,매수(BUY),1691000.0,0.0
2026-08-20,삼성전자,매수(BUY),271000.0,0.0
2026-08-20,SK이터닉스,매수(BUY),56000.0,0.0
2026-08-20,LG전자,매수(BUY),202500.0,0.0
2026-08-21,삼성전자우,매수(BUY),207000.0,0.0
2026-08-24,삼성전자우,매도(SELL),189300.0,-8.55
2026-08-24,삼성전기,매수(BUY),1318000.0,0.0
2026-08-26,삼성전자우,매수(BUY),196800.0,0.0
2026-08-28,삼성SDI,매수(BUY),571000.0,0.0
2026-08-31,SK이터닉스,매도(SELL),53200.0,-5.0
2026-09-04,LG전자,매도(SELL),200500.0,-0.99
2026-09-08,SK스퀘어,매수(BUY),1131000.0,0.0
2026-09-08,두산에너빌리티,매수(BUY),89500.0,0.0
