날짜,순위,종목명,현재가,거래대금,시가총액,비율(%),등락률
2026-08-07,1,SK하이닉스,1422000.0,6821244414000.0,10387601.0,0.6566717776318132,-4.88
2026-08-07,2,삼성전자,231000.0,4718107548000.0,13504904.0,0.3493625388229343,0.22
2026-08-07,3,삼성전기,1278000.0,1143640026000.0,954585.0,1.1980494413802856,3.99
2026-08-07,4,한화솔루션,33900.0,675455059200.0,58272.0,11.591417133443164,11.51
2026-08-07,5,SK스퀘어,939000.0,607475721000.0,1239089.0,0.4902599579206981,-3.2
2026-08-07,6,삼성전자우,170100.0,469538086500.0,1364833.0,0.3440260357860631,-1.16
2026-08-07,7,NAVER,210000.0,368746140000.0,329583.0,1.118826335096167,-7.08
2026-08-07,8,삼성SDI,459000.0,316262475000.0,369888.0,0.8550222634959772,7.49
2026-08-07,9,OCI홀딩스,272500.0,305972810000.0,50876.0,6.014089354509002,11.68
2026-08-07,10,LG전자,185000.0,269241785000.0,301337.0,0.8934906267733469,5.59
2026-08-07,11,SK이터닉스,50500.0,258714580500.0,17204.0,15.038048157405251,-8.18
2026-08-07,12,파마리서치,378500.0,244049230000.0,39325.0,6.205956261919898,-4.06
2026-08-07,13,대한광통신,11460.0,207782612280.0,17819.0,11.66073361468096,3.52
2026-08-07,14,현대차,395500.0,164398276000.0,809817.0,0.2030066990443519,-1.13
2026-08-07,15,한화에어로스페이스,1097000.0,160198201000.0,565650.0,0.2832108211791744,4.08
2026-08-07,16,카카오,39900.0,157961346900.0,176749.0,0.8937043315662323,4.18
2026-08-07,17,효성중공업,2832000.0,153627504000.0,264071.0,0.5817659038667631,4.58
2026-08-07,18,LG에너지솔루션,360000.0,153519840000.0,842400.0,0.1822410256410256,4.35
2026-08-07,19,SK이노베이션,120300.0,152944006500.0,203370.0,0.7520480233072725,10.77
2026-08-07,20,신한지주,110000.0,152816730000.0,516395.0,0.2959299179891362,2.42
2026-08-07,21,포스코퓨처엠,155800.0,151210755200.0,138578.0,1.0911598897371877,5.63
2026-08-07,22,알테오젠,305000.0,151148545000.0,163438.0,0.9248066239185502,3.92
2026-08-07,23,셀트리온,199300.0,149969662600.0,463480.0,0.3235731047725899,2.21
2026-08-07,24,KB금융,175800.0,141065084400.0,623541.0,0.226232251608154,2.51
2026-08-07,25,한미반도체,192300.0,140916093900.0,183285.0,0.7688359325640396,-4.09
2026-08-07,26,LS ELECTRIC,201000.0,140019213000.0,301500.0,0.4644086666666667,-0.74
2026-08-07,27,에코프로,86000.0,136505822000.0,116767.0,1.1690445245660162,2.87
2026-08-07,28,HD현대에너지솔루션,127800.0,134169168600.0,14314.0,9.373282702249544,-4.63
2026-08-07,29,빛과전자,3005.0,128805956395.0,3386.0,38.04074317631424,3.26
2026-08-07,30,LG이노텍,552000.0,127296168000.0,130642.0,0.974389308185729,-0.36
2026-08-10,1,SK하이닉스,1420000.0,4671347020000.0,10372992.0,0.4503374744721677,-0.14
2026-08-10,2,삼성전자,230000.0,3754718950000.0,13446441.0,0.2792351485422797,-0.43
2026-08-10,3,삼성전기,1274000.0,780551772000.0,951598.0,0.8202536911595022,-0.31
2026-08-10,4,대한광통신,14040.0,612187046640.0,21830.0,28.043382805313787,22.51
2026-08-10,5,제주반도체,87700.0,424339870300.0,30206.0,14.048198050056278,16.31
2026-08-10,6,SK스퀘어,949000.0,389136501000.0,1252285.0,0.3107411659486458,1.06
2026-08-10,7,알테오젠,348000.0,359575176000.0,186480.0,1.9282238095238096,14.1
2026-08-10,8,삼성전자우,172000.0,331676888000.0,1380078.0,0.240331987032617,1.12
2026-08-10,9,한화솔루션,35250.0,270240318000.0,60592.0,4.459999966992342,3.98
2026-08-10,10,주성엔지니어링,144800.0,229446604800.0,67305.0,3.409057347893916,13.3
2026-08-10,11,HD현대중공업,532000.0,228115216000.0,558394.0,0.4085201775090706,5.14
2026-08-10,12,한화에어로스페이스,1152000.0,220750848000.0,594010.0,0.3716281678759617,5.01
2026-08-10,13,삼성SDI,481500.0,203988919500.0,388019.0,0.525718893920143,4.9
2026-08-10,14,LG전자,190000.0,200414660000.0,309481.0,0.647583082644815,2.7
2026-08-10,15,현대차,408000.0,187102272000.0,835412.0,0.2239640704227375,3.16
2026-08-10,16,GS건설,34900.0,170242060400.0,29868.0,5.699814530601312,10.27
2026-08-10,17,OCI홀딩스,284500.0,164555653500.0,53117.0,3.097984703578892,4.4
2026-08-10,18,NAVER,211500.0,155065666500.0,331937.0,0.4671539072173334,0.71
2026-08-10,19,LIG디펜스앤에어로스페이스,823000.0,151492902000.0,181060.0,0.8367,11.07
2026-08-10,20,두산에너빌리티,79900.0,151397875800.0,511808.0,0.2958099048862073,3.63
2026-08-10,21,광전자,8910.0,146982033000.0,5163.0,28.46833875653689,14.08
2026-08-10,22,마키나락스,32850.0,141807766950.0,5832.0,24.31546072530864,13.08
2026-08-10,23,원익IPS,98400.0,140549148000.0,48299.0,2.9099804964906104,11.44
2026-08-10,24,대원전선,14950.0,132812600700.0,11723.0,11.329233191162672,8.41
2026-08-10,25,디앤디파마텍,65700.0,123795816300.0,30115.0,4.110769261165532,14.26
2026-08-10,26,신한지주,106400.0,121651482400.0,499495.0,0.2435489492387311,-3.27
2026-08-10,27,한미반도체,205500.0,121594966500.0,195867.0,0.6208037418248097,6.86
2026-08-10,28,산일전기,183800.0,121265726000.0,56322.0,2.153079187528852,16.85
2026-08-10,29,SK이터닉스,51300.0,119574349200.0,17476.0,6.84220354772259,1.58
2026-08-10,30,에코프로,93500.0,118877022000.0,126951.0,0.9364008318170004,8.72
2026-08-11,1,삼성전자,239500.0,5555874776500.0,14001837.0,0.3967961330002627,4.13
2026-08-11,2,SK하이닉스,1425000.0,5247783375000.0,10409516.0,0.5041332733433523,0.35
